,เงินทุนรวม,คนงานรวม,แรงม้า
75,17000000.0,20.0,367.0
76,1000000.0,4.0,120.0
77,6600000.0,8.0,253.0
78,17000000.0,20.0,367.0
79,8000000.0,4.0,120.0
80,25000000.0,21.0,835.0
81,1600000.0,3.0,340.0
82,4050000.0,12.0,133.0
83,40000000.0,20.0,568.0
84,9750000.0,5.0,230.0
85,11000000.0,17.0,172.0
86,8048000.0,10.0,184.0
87,18500000.0,5.0,91.0
88,6000000.0,7.0,392.5
89,3840000.0,12.0,119.0
90,11000000.0,7.0,312.0
91,20000000.0,12.0,455.0
92,3500000.0,9.0,120.0
93,11000000.0,10.0,350.0
94,30000000.0,18.0,290.0
95,5500000.0,11.0,90.0
97,750000.0,8.0,287.0
98,23000000.0,25.0,240.0
99,12000000.0,20.0,420.0
101,28000000.0,4.0,296.0
102,35000000.0,9.0,570.0
104,5500000.0,8.0,449.0
105,20000000.0,13.0,420.0
106,29300000.0,20.0,763.04
107,8500000.0,5.0,124.0
108,6500000.0,4.0,70.0
109,14000000.0,12.0,498.0
110,14000000.0,10.0,261.64
111,8000000.0,17.0,95.0
112,19400880.0,15.0,127.38
113,4700000.0,20.0,285.0
115,5200000.0,5.0,50.0
116,19900000.0,25.0,455.0
117,20500000.0,15.0,331.0
118,10000000.0,17.0,681.0
119,25000000.0,12.0,140.0
120,5500000.0,8.0,789.0
121,3190000.0,16.0,147.17
122,3000000.0,11.0,93.0
123,19000000.0,29.0,218.75
124,13000000.0,12.0,378.0
125,6000000.0,20.0,330.0
126,500000.0,4.0,117.16
127,1200000.0,10.0,167.5
128,13000000.0,12.0,383.0
129,25000000.0,18.0,240.0
130,3360000.0,12.0,378.0
131,9800000.0,10.0,410.0
132,13000000.0,12.0,498.0
133,1031500.0,8.0,81.0
134,15000000.0,17.0,344.64
135,13000000.0,15.0,229.76
136,5000000.0,20.0,465.0
137,18000000.0,22.0,229.76
138,37000000.0,15.0,280.0
139,1250000.0,7.0,305.0
140,7000000.0,10.0,240.0
141,15000000.0,10.0,420.0
142,3500000.0,9.0,510.0
143,25000000.0,21.0,820.0
144,5000000.0,12.0,123.0
145,8000000.0,18.0,621.0
146,16857000.0,12.0,498.0
147,16000000.0,20.0,72.0
148,7000000.0,9.0,200.83
149,15000000.0,13.0,72.17
150,10500000.0,5.0,89.0
151,10000000.0,7.0,150.0
152,15000000.0,20.0,97.8
153,11000000.0,8.0,357.2
154,3400000.0,7.0,54.0
155,5000000.0,14.0,237.5
156,7250000.0,4.0,141.16
157,10000000.0,20.0,62.0
158,17000000.0,25.0,475.57
160,18500000.0,10.0,64.0
161,20000000.0,7.0,96.08
162,20015000.0,7.0,225.5
163,9000000.0,10.0,53.82
164,1200000.0,5.0,90.0
165,22500000.0,14.0,155.0
166,2000000.0,8.0,76.5
167,23000000.0,15.0,317.0
168,6646000.0,8.0,230.0
169,16300000.0,15.0,757.28
171,17000000.0,7.0,228.08
172,15000000.0,12.0,729.0
173,11000000.0,4.0,314.4
174,7500000.0,4.0,129.88
175,2011000.0,8.0,345.4
176,5000000.0,15.0,720.0
177,4500000.0,7.0,149.0
178,7600000.0,9.0,120.0
179,10000000.0,9.0,95.0
180,11500000.0,11.0,213.0
181,10000000.0,11.0,230.0
182,15000000.0,10.0,495.0
183,4000000.0,27.0,519.27
184,23000000.0,25.0,147.0
185,3500000.0,7.0,40.0
187,8048000.0,10.0,70.97
188,8000000.0,10.0,153.35
189,18000000.0,20.0,220.0
190,8600000.0,9.0,120.0
191,23000000.0,10.0,748.0
192,12100000.0,7.0,100.0
195,11000000.0,10.0,110.0
196,15725000.0,12.0,141.36
197,4000000.0,14.0,163.0
198,17000000.0,11.0,180.0
199,10000000.0,17.0,149.0
200,30000000.0,22.0,266.0
201,22293950.0,15.0,416.07
202,13500000.0,14.0,50.75
203,40000000.0,20.0,854.0
204,12000000.0,13.0,203.24
205,4830000.0,8.0,133.04
206,1300000.0,12.0,309.0
207,32800000.0,13.0,428.95
208,30000000.0,10.0,564.5
209,10000000.0,12.0,257.29
210,19200000.0,8.0,45.0
211,23000000.0,6.0,132.0
212,12500000.0,13.0,482.0
213,13695000.0,3.0,170.4
214,8659200.0,11.0,155.0
215,1388000.0,15.0,165.0
216,13500000.0,13.0,423.8
217,28000000.0,9.0,324.0
218,7300000.0,15.0,67.0
219,9500000.0,11.0,93.0
220,19900000.0,20.0,197.58
221,18000000.0,12.0,100.0
222,3500000.0,8.0,65.0
224,3000000.0,12.0,76.0
225,10000000.0,16.0,59.0
226,6500000.0,15.0,490.61
227,3000000.0,8.0,482.0
228,3500000.0,26.0,878.26
229,9300000.0,24.0,193.0
230,1900000.0,10.0,201.25
231,5850000.0,5.0,93.81
232,4660000.0,17.0,69.0
235,20000000.0,10.0,276.0
236,18000000.0,10.0,340.0
237,5000000.0,9.0,136.25
238,7000000.0,10.0,450.0
239,9750000.0,5.0,89.0
240,2875000.0,4.0,67.67
241,8000000.0,9.0,134.0
242,8000000.0,10.0,377.26
243,850000.0,5.0,124.0
244,15000000.0,10.0,60.0
246,16000000.0,4.0,80.71
247,23600000.0,10.0,61.5
249,15500000.0,8.0,140.0
250,23000000.0,20.0,105.0
251,2740000.0,14.0,100.0
252,1400000.0,7.0,90.0
253,9000000.0,11.0,421.0
254,3000000.0,25.0,111.1
255,4000000.0,20.0,215.0
257,6100000.0,14.0,393.6
258,19000000.0,21.0,269.0
259,1200000.0,9.0,684.2431524416136
260,1000000.0,10.0,133.0
261,17000000.0,15.0,345.0
263,29000000.0,11.0,429.35
264,6000000.0,9.0,152.0
265,36000000.0,9.0,146.0
266,11080000.0,10.0,144.0
267,15000000.0,12.0,290.0
268,3500000.0,10.0,170.0
269,3000000.0,10.0,155.0
270,8000000.0,4.0,101.0
271,25000000.0,26.0,118.81
272,4300000.0,10.0,75.0
273,18500000.0,15.0,185.0
274,1716000.0,10.0,197.0
275,18100000.0,10.0,160.0
276,6000000.0,10.0,144.0
277,800000.0,5.0,95.0
278,8950000.0,19.0,100.0
279,8000000.0,5.0,115.0
280,6000000.0,10.0,67.0
281,4400000.0,10.0,200.0
282,4850000.0,10.0,95.0
283,12500000.0,19.0,307.0
284,2500000.0,2.0,397.5
285,6000000.0,7.0,70.0
286,6000000.0,10.0,65.0
287,11900000.0,10.0,134.0
288,8000000.0,10.0,212.0
289,4200000.0,20.0,131.0
290,16205000.0,11.0,95.0
291,4500000.0,12.0,122.0
292,10700000.0,6.0,106.0
293,12000000.0,15.0,373.0
294,10540000.0,10.0,460.0
295,9000000.0,15.0,241.0
296,3000000.0,4.0,83.0
297,6000000.0,10.0,60.0
298,17000000.0,15.0,102.0
299,29000000.0,12.0,302.0
300,16000000.0,18.0,71.5
301,10000000.0,10.0,67.0
302,1300000.0,16.0,224.0
303,4576000.0,11.0,95.0
304,1400000.0,7.0,97.0
305,10600000.0,20.0,334.0
306,25000000.0,10.0,657.0
308,19000000.0,11.0,345.0
309,28490000.0,10.0,97.0
310,27000000.0,10.0,280.0
311,3000000.0,10.0,112.0
312,9000000.0,10.0,280.0
313,11500000.0,28.0,211.0
314,13000000.0,20.0,608.0
315,3000000.0,10.0,101.0
316,4300000.0,6.0,90.0
317,4950000.0,10.0,70.0
318,3900000.0,16.0,65.0
319,9000000.0,25.0,245.0
320,37000000.0,11.0,215.0
321,6800000.0,10.0,220.0
322,13200000.0,10.0,358.0
323,12000000.0,10.0,207.0
324,4500000.0,5.0,80.0
325,12000000.0,10.0,82.0
326,3900000.0,7.0,55.0
327,2000000.0,13.0,270.0
328,1500000.0,9.0,79.0
329,18500000.0,5.0,80.0
330,14000000.0,9.0,180.0
331,12000000.0,20.0,110.0
332,4500000.0,8.0,192.0
334,5042000.0,15.0,129.0
335,5680000.0,10.0,67.5
336,4100000.0,15.0,95.0
337,5000000.0,10.0,125.0
338,8000000.0,10.0,115.0
339,12000000.0,8.0,157.52
340,10700000.0,6.0,136.0
341,21000000.0,10.0,390.0
342,37000000.0,15.0,70.0
343,8400000.0,14.0,140.0
344,7900000.0,15.0,75.0
345,6050000.0,10.0,88.0
346,2100000.0,18.0,130.0
347,16500000.0,10.0,180.0
348,2090000.0,10.0,94.42
349,6100000.0,12.0,200.0
350,21000000.0,12.0,776.53
351,2800000.0,12.0,151.0
352,15000000.0,7.0,130.0
353,11900000.0,12.0,505.0
354,4500000.0,7.0,53.0
355,20000000.0,20.0,110.0
356,4000000.0,9.0,111.0
357,36000000.0,10.0,356.5
358,10000000.0,12.0,148.94
359,8000000.0,10.0,337.0
360,1500000.0,4.0,86.0
361,23500000.0,7.0,108.0
362,8150000.0,8.0,54.0
363,30000000.0,18.0,686.5
364,20000000.0,10.0,169.0
365,7000000.0,10.0,254.0
366,10500000.0,7.0,134.41
367,6000000.0,6.0,72.06
368,6500000.0,7.0,341.5
369,7000000.0,10.0,254.0
370,2000000.0,7.0,216.88
371,29000000.0,6.0,360.0
372,6000000.0,10.0,103.0
373,15000000.0,10.0,470.0
374,10000000.0,6.0,66.0
375,7000000.0,10.0,122.54
376,11000000.0,17.0,490.0
377,7000000.0,10.0,119.0
378,19000000.0,27.0,123.0
379,37000000.0,23.0,700.0
380,24200000.0,20.0,280.0
381,15500000.0,5.0,65.0
382,5160000.0,7.0,60.0
383,26000000.0,14.0,290.0
384,11000000.0,7.0,281.0
386,4500000.0,6.0,285.0
387,43800000.0,20.0,295.0
388,5000000.0,6.0,92.0
389,15500000.0,6.0,53.0
390,36500000.0,11.0,304.0
391,5020000.0,7.0,84.0
392,6040000.0,5.0,120.0
393,27500000.0,14.0,481.0
394,4000000.0,12.0,185.0
395,6800000.0,10.0,122.0
396,12000000.0,2.0,64.0
397,4300000.0,12.0,130.0
398,11500000.0,28.0,370.0
399,8500000.0,10.0,65.0
400,10500000.0,12.0,295.0
401,4800000.0,10.0,76.5
402,9000000.0,14.0,177.0
403,3310000.0,6.0,187.0
404,9000000.0,9.0,84.0
405,10000000.0,9.0,194.0
406,3500000.0,6.0,82.0
407,1700000.0,5.0,75.0
408,8000000.0,15.0,99.0
409,3000000.0,10.0,170.0
410,26000000.0,16.0,132.0
411,11000000.0,10.0,94.0
412,3800000.0,6.0,126.68
413,4300000.0,10.0,130.0
414,1900000.0,16.0,100.0
415,3000000.0,7.0,60.0
416,7600000.0,13.0,60.0
417,10000000.0,12.0,133.0
418,8500000.0,10.0,65.0
419,21300000.0,6.0,62.0
420,5750000.0,12.0,286.0
421,900000.0,7.0,144.0
422,6000000.0,20.0,131.0
423,6000000.0,10.0,205.0
424,3500000.0,20.0,64.0
425,16500000.0,11.0,130.0
426,1200000.0,11.0,50.0
427,15441000.0,22.0,370.0
428,18136000.0,18.0,330.0
429,4000000.0,5.0,94.0
430,4450000.0,8.0,143.8
431,4900000.0,7.0,93.0
432,1800000.0,9.0,101.1
433,1500000.0,14.0,50.0
434,900000.0,9.0,80.0
435,380000.0,7.0,83.65
436,1530000.0,10.0,140.0
437,3200000.0,7.0,425.0
439,3000000.0,11.0,121.0
440,2200000.0,7.0,90.0
441,30000000.0,6.0,634.0
442,8000000.0,7.0,95.0
443,26000000.0,10.0,66.7
444,3000000.0,9.0,96.0
445,1400000.0,12.0,158.5
446,11600000.0,9.0,465.0
447,8000000.0,28.0,285.0
448,2000000.0,10.0,90.0
449,4200000.0,10.0,90.0
450,26000000.0,15.0,90.0
451,1430000.0,9.0,95.0
452,5900000.0,13.0,150.0
453,1815000.0,2.0,85.0
454,400000.0,10.0,150.0
455,7000000.0,3.0,289.0
456,6000000.0,15.0,120.0
457,4000000.0,12.0,153.0
458,3250000.0,12.0,92.0
459,3250000.0,8.0,107.0
460,400000.0,12.0,124.0
461,5000000.0,20.0,120.0
462,5000000.0,12.0,87.0
463,3970000.0,4.0,72.5
464,3300000.0,12.0,104.0
465,7000000.0,10.0,188.0
466,5000000.0,12.0,90.0
467,18000000.0,15.0,191.0
468,43000000.0,25.0,163.0
469,7500000.0,10.0,90.0
470,10000000.0,27.0,126.0
471,1900000.0,7.0,59.0
472,1800000.0,12.0,61.6
474,2650000.0,14.0,107.5
475,30000000.0,9.0,733.0
476,8000000.0,6.0,89.0
477,27000000.0,20.0,285.0
478,14000000.0,9.0,235.0
479,6400000.0,8.0,275.5
480,22500000.0,14.0,481.0
481,1500000.0,10.0,73.2
482,18850000.0,15.0,395.0
483,8100000.0,7.0,56.0
484,18000000.0,10.0,972.58
485,6000000.0,15.0,105.0
486,34890000.0,8.0,308.7
487,4000000.0,20.0,576.0
488,10020000.0,24.0,230.0
489,17000000.0,12.0,205.0
491,11000000.0,25.0,946.0
492,16000000.0,12.0,80.8
493,42400000.0,25.0,512.0
494,44981000.0,20.0,260.0
495,4800000.0,10.0,252.5
496,31000000.0,15.0,104.47
497,15000000.0,15.0,914.35
498,5050000.0,7.0,75.0
499,15000000.0,7.0,681.0
500,35000000.0,15.0,86.0
501,20000000.0,10.0,480.0
502,25384000.0,24.0,106.02
503,8000000.0,14.0,75.0
504,7300000.0,12.0,90.0
505,4700000.0,15.0,85.0
506,10700000.0,15.0,168.0
507,8500000.0,9.0,115.0
508,9700000.0,18.0,410.0
509,36700000.0,25.0,163.0
510,16000000.0,20.0,237.24
511,3200000.0,20.0,200.0
512,900000.0,5.0,500.0
513,750000.0,3.0,222.0
514,2500000.0,10.0,85.0
515,9000000.0,20.0,582.0
516,5000000.0,11.0,288.0
517,900000.0,8.0,143.0
518,13000000.0,10.0,423.0
519,9000000.0,22.0,149.0
520,7000000.0,20.0,490.0
521,36000000.0,10.0,328.61
522,5500000.0,5.0,120.0
523,23000000.0,18.0,50.0
524,14000000.0,10.0,255.0
525,800000.0,8.0,150.0
526,11600000.0,20.0,270.0
527,31500000.0,14.0,122.56
528,4300000.0,5.0,88.0
529,5500000.0,12.0,190.0
530,11026000.0,18.0,270.0
531,28538269.0,11.0,184.3
532,5005000.0,4.0,224.31
533,2050000.0,14.0,180.0
535,16000000.0,6.0,139.0
537,800000.0,10.0,213.0
538,3000000.0,23.0,243.0
539,26609500.0,16.0,265.0
540,11000000.0,15.0,240.0
541,4000000.0,10.0,203.0
542,3100000.0,4.0,61.0
543,5500000.0,7.0,190.0
544,6000000.0,20.0,992.0
545,12000000.0,10.0,335.0
546,900000.0,15.0,76.0
547,11000000.0,7.0,228.0
548,2500000.0,7.0,238.0
549,3000000.0,15.0,57.5
550,5100000.0,24.0,144.0
552,5000000.0,7.0,396.5
554,21800000.0,7.0,140.0
555,13500000.0,19.0,326.0
556,19500000.0,14.0,500.0
557,3900000.0,4.0,119.0
558,3000000.0,20.0,241.0
559,6320000.0,7.0,100.0
560,730000.0,7.0,194.0
561,20000000.0,25.0,77.5
562,3500000.0,16.0,147.0
563,1650000.0,15.0,93.0
564,10000000.0,21.0,160.0
565,15000000.0,8.0,100.0
566,3900000.0,7.0,70.0
567,5000000.0,8.0,100.0
569,1950000.0,18.0,92.5
570,4566000.0,17.0,128.5
572,3700000.0,8.0,58.5
573,600000.0,8.0,92.0
574,11000000.0,10.0,300.0
575,11300000.0,10.0,120.0
576,4050000.0,6.0,120.0
577,330000.0,10.0,78.5
578,20000000.0,11.0,695.0
579,1500000.0,5.0,95.0
580,3000000.0,9.0,133.0
581,7500000.0,24.0,190.0
582,3950000.0,18.0,362.5
583,5500000.0,11.0,61.0
584,1000000.0,7.0,60.0
585,1620000.0,5.0,194.0
586,24000000.0,18.0,410.0
587,3200000.0,6.0,198.0
588,2700000.0,12.0,174.0
589,7500000.0,20.0,348.0
590,3020000.0,5.0,74.5
591,28000000.0,17.0,373.5
592,2000000.0,5.0,190.4
593,4280000.0,4.0,86.83
594,30000000.0,15.0,675.0
595,3840000.0,4.0,88.0
596,9000000.0,7.0,293.0
597,11200000.0,8.0,256.0
598,41583000.0,5.0,71.0
599,16200000.0,8.0,286.0
600,5000000.0,15.0,421.0
601,22500000.0,9.0,181.0
602,24860000.0,8.0,210.0
603,5900000.0,9.0,193.0
604,15500000.0,8.0,286.0
605,5500000.0,11.0,63.0
606,4515000.0,20.0,495.0
608,42000000.0,12.0,997.0
609,32000001.0,20.0,490.0
610,10000000.0,21.0,342.0
611,35000000.0,13.0,486.0
612,4515000.0,20.0,428.0
613,40010899.0,8.0,868.14
614,6500000.0,17.0,667.0
615,600000.0,4.0,60.0
616,8000000.0,9.0,197.0
617,1500000.0,9.0,157.0
618,35000000.0,25.0,542.37
619,12500000.0,12.0,198.0
620,1950000.0,5.0,239.0
621,30290000.0,8.0,388.95
622,8300000.0,3.0,72.64
623,12000000.0,6.0,64.55
624,2600000.0,3.0,50.0
625,39000000.0,14.0,593.0
626,3600000.0,15.0,97.0
627,3500000.0,7.0,280.0
628,900000.0,12.0,164.0
629,7496000.0,28.0,79.0
630,12250000.0,10.0,155.0
631,7600000.0,10.0,214.48
632,31000000.0,12.0,321.0
633,8000000.0,10.0,240.0
634,5300000.0,8.0,100.0
635,1200000.0,11.0,84.0
636,28000000.0,20.0,425.0
637,1600000.0,12.0,50.0
639,830000.0,13.0,97.0
640,13000000.0,25.0,400.0
642,3500000.0,7.0,118.0
643,15500000.0,12.0,82.0
644,4200000.0,17.0,53.0
645,3000000.0,10.0,225.0
646,11000000.0,7.0,254.0
647,22000000.0,17.0,179.0
648,900000.0,12.0,171.0
649,8200000.0,20.0,78.0
650,7460000.0,17.0,827.0
651,3000000.0,6.0,126.0
652,6300000.0,17.0,97.75
653,4000000.0,15.0,160.0
654,15000000.0,15.0,84.0
655,1500000.0,12.0,164.0
656,4400000.0,12.0,61.0
657,8000000.0,9.0,290.0
658,9300000.0,25.0,60.0
659,17000000.0,6.0,125.0
660,15000000.0,10.0,210.0
661,1650000.0,10.0,95.0
662,3000000.0,15.0,50.27
663,8000000.0,17.0,169.0
664,11000000.0,23.0,285.0
665,25000000.0,10.0,124.0
666,2050000.0,16.0,87.0
667,4500000.0,10.0,595.0
668,4300000.0,9.0,90.0
669,12000000.0,10.0,768.0
671,1750000.0,9.0,113.0
672,7000000.0,24.0,136.75
673,700000.0,4.0,59.0
674,700000.0,7.0,62.5
675,15000000.0,15.0,325.0
676,34000000.0,7.0,75.0
677,39000000.0,20.0,854.0
678,20584000.0,28.0,293.0
679,7900000.0,15.0,97.0
680,20000000.0,10.0,294.0
681,5500000.0,15.0,170.0
682,9050000.0,9.0,118.0
684,5656000.0,11.0,232.0
685,15200000.0,10.0,115.0
686,29000000.0,18.0,327.0
688,5000000.0,8.0,67.0
689,22700000.0,10.0,203.0
690,4100000.0,9.0,92.0
692,40000000.0,9.0,420.0
693,11000000.0,4.0,75.0
694,9000000.0,26.0,65.0
695,2700000.0,6.0,90.0
696,12700000.0,5.0,59.0
697,2000000.0,8.0,67.6
698,5000000.0,7.0,110.0
699,600000.0,11.0,60.0
700,6050000.0,25.0,55.0
701,42000000.0,10.0,180.0
702,4000000.0,12.0,59.0
704,9000000.0,7.0,127.0
705,32000000.0,13.0,489.0
707,8000000.0,8.0,82.0
708,16000000.0,16.0,190.0
709,35000000.0,21.0,490.0
710,20000000.0,20.0,465.0
711,14080000.0,21.0,179.0
712,2500000.0,20.0,126.5
713,17000000.0,10.0,390.0
714,25000000.0,11.0,190.0
715,4200000.0,10.0,174.0
716,5851200.0,5.0,80.0
718,9000000.0,5.0,74.0
719,40000000.0,22.0,622.0
720,2100000.0,10.0,93.0
722,9700000.0,14.0,67.0
723,550000.0,9.0,65.0
724,2100000.0,9.0,190.0
725,3515000.0,16.0,210.0
726,1736000.0,16.0,213.0
728,3800000.0,8.0,76.0
729,14800000.0,16.0,165.0
730,38000000.0,14.0,417.0
731,5000000.0,9.0,180.0
732,7700000.0,15.0,195.5
733,23500000.0,9.0,307.0
735,2500000.0,6.0,98.0
736,6200000.0,20.0,70.0
738,35000000.0,12.0,232.0
739,2900000.0,8.0,82.0
740,1800000.0,10.0,89.0
741,12500000.0,10.0,67.0
743,38000000.0,20.0,215.0
744,11500000.0,14.0,97.0
745,2722000.0,20.0,163.0
746,1050000.0,10.0,89.0
747,12000000.0,10.0,278.4
748,14000000.0,11.0,284.2
750,15285385.0,8.0,50.0
751,6400000.0,14.0,97.0
752,10000000.0,10.0,93.0
753,10000000.0,8.0,100.0
754,29000000.0,4.0,76.0
755,9800000.0,10.0,80.0
756,14400000.0,8.0,140.0
757,10000000.0,4.0,260.0
758,3500000.0,9.0,185.0
760,9700000.0,14.0,67.0
761,12000000.0,14.0,280.0
762,1900000.0,9.0,165.0
763,14970000.0,11.0,404.8
764,6000000.0,12.0,497.18
765,24000000.0,6.0,231.0
766,28000000.0,9.0,284.83
767,8500000.0,8.0,290.0
768,13000000.0,5.0,119.0
769,18978750.0,17.0,723.86
770,22000000.0,5.0,144.5
771,32000000.0,15.0,156.7
772,8200000.0,8.0,165.6
773,4000000.0,20.0,250.02
774,14000000.0,20.0,545.0
775,8000000.0,5.0,79.8
777,4200000.0,8.0,100.0
778,28400000.0,19.0,296.4
779,1511760.0,5.0,356.44
780,3000000.0,10.0,421.02
782,8300000.0,10.0,197.28
783,10000000.0,11.0,230.0
784,9200000.0,15.0,210.5
785,2050000.0,10.0,85.0
786,4100000.0,7.0,326.0
787,4050000.0,9.0,74.0
788,11700000.0,26.0,84.0
789,17000000.0,12.0,345.82
790,31000000.0,12.0,163.0
791,7600000.0,14.0,167.75
792,4800000.0,9.0,165.0
793,3800000.0,17.0,546.0
794,1800000.0,4.0,185.0
795,19000000.0,16.0,237.0
796,15000000.0,10.0,120.0
797,4000000.0,5.0,50.0
799,24943000.0,17.0,608.92
800,1000000.0,12.0,235.75
801,12000000.0,8.0,350.0
802,14500000.0,27.0,293.15
803,11000000.0,8.0,225.0
804,20000000.0,8.0,225.0
805,1900000.0,4.0,92.0
806,7700000.0,10.0,158.0
807,11650000.0,25.0,283.62
808,7000000.0,10.0,230.0
809,17000000.0,19.0,185.0
811,6000000.0,11.0,125.0
812,9019515.0,22.0,200.0
814,2300000.0,20.0,125.0
815,7500000.0,11.0,260.0
816,8860000.0,15.0,83.0
817,5500000.0,8.0,170.0
818,2590000.0,21.0,99.0
819,1520000.0,7.0,155.0
820,17000000.0,10.0,225.0
821,6250000.0,8.0,91.0
822,6000000.0,10.0,82.0
823,5000000.0,6.0,70.0
825,1200000.0,14.0,213.87
826,4200000.0,11.0,54.75
827,7600000.0,7.0,125.0
828,1900000.0,7.0,61.0
829,410000.0,4.0,120.0
830,1550000.0,6.0,68.0
831,7500000.0,11.0,95.0
832,12000000.0,9.0,194.7
833,5500000.0,10.0,171.0
834,40000000.0,16.0,276.87
835,7700000.0,12.0,193.0
836,12500000.0,10.0,296.0
837,22000000.0,6.0,198.0
838,35000000.0,12.0,130.0
839,11000000.0,22.0,65.0
840,220000.0,4.0,120.0
841,2800000.0,10.0,125.0
842,38000000.0,15.0,99.0
843,1850000.0,8.0,95.0
844,3300000.0,5.0,60.0
846,5800000.0,10.0,120.0
847,7500000.0,11.0,65.0
848,16700000.0,12.0,250.0
849,5300000.0,16.0,286.9
850,2020000.0,13.0,90.63
851,10300000.0,3.0,15.2
852,7000000.0,7.0,89.21
853,6600000.0,7.0,161.0
854,7500000.0,8.0,92.5
855,9000000.0,17.0,137.0
856,3500000.0,4.0,86.0
857,32000000.0,20.0,721.0
858,20000000.0,10.0,235.0
859,37517075.0,9.0,150.0
860,9400000.0,16.0,140.0
861,15000000.0,20.0,295.0
862,38000000.0,18.0,530.0
863,31000000.0,11.0,270.0
864,2500000.0,10.0,195.0
865,5000000.0,12.0,50.0
866,14000000.0,10.0,89.0
867,16000000.0,11.0,59.0
868,3500000.0,4.0,90.0
869,3060000.0,10.0,59.0
870,5000000.0,15.0,57.0
871,14000000.0,15.0,356.48
872,15000000.0,19.0,55.0
873,10000000.0,15.0,145.0
874,10550000.0,8.0,89.0
875,4000000.0,15.0,91.0
876,6600000.0,7.0,161.0
877,21200000.0,5.0,72.5
878,43000000.0,25.0,170.0
879,7200000.0,8.0,83.0
880,2000000.0,8.0,450.0
881,5000000.0,8.0,97.0
882,2800000.0,10.0,87.0
883,1000000.0,13.0,55.0
884,11000000.0,9.0,217.0
885,3060000.0,13.0,83.0
886,2700000.0,9.0,280.0
887,22000000.0,13.0,372.0
888,3050000.0,8.0,59.0
889,20600000.0,15.0,81.0
890,3000000.0,15.0,200.0
891,3200000.0,15.0,214.0
892,5450000.0,11.0,80.0
893,3700000.0,7.0,80.0
894,3500000.0,12.0,80.0
895,20000000.0,25.0,195.0
896,20000000.0,25.0,245.0
897,31600000.0,18.0,91.84
898,11500000.0,18.0,98.0
900,13000000.0,18.0,80.0
901,30500000.0,13.0,164.0
902,3000000.0,10.0,75.0
903,5000000.0,10.0,574.0
904,3700000.0,15.0,91.0
905,10800000.0,20.0,710.0
906,13000000.0,18.0,80.0
907,4500000.0,8.0,92.5
908,9000000.0,20.0,160.0
909,10700000.0,7.0,80.0
910,13000000.0,10.0,137.0
911,3500000.0,10.0,84.0
912,8000000.0,7.0,435.0
913,15540000.0,7.0,350.0
914,5300000.0,8.0,514.0
915,2830000.0,4.0,95.0
916,1000000.0,10.0,121.0
917,20000000.0,20.0,230.0
918,3200000.0,13.0,514.0
919,7000000.0,13.0,284.34
920,8000000.0,9.0,320.0
921,10800000.0,14.0,655.0
922,6000000.0,8.0,345.0
924,2700000.0,8.0,117.0
925,7250000.0,10.0,114.0
926,14000000.0,19.0,86.0
927,20000000.0,10.0,518.44
928,2600000.0,26.0,280.0
929,4000000.0,9.0,286.5
930,1800000.0,20.0,90.0
931,3000000.0,3.0,250.0
932,37000000.0,26.0,615.0
933,2800000.0,15.0,684.0
934,6000000.0,4.0,328.5
935,15820000.0,5.0,438.0
