ลำดับ,เลขทะเบียนเดิม,FID,ชื่อโรงงาน,ผู้ประกอบการ,ประกอบกิจการ,เลขที่,หมู่,ซอย,ถนน,ตำบล,อำเภอ,จังหวัด,ไปรษณีย์,โทรศัพท์,เงินทุนรวม,คนงานรวม,แรงม้า
30,3-105-51/59,1.01E+13,บริษัท อุตสาหกรรมโลหะ มหานคร (2010) จำกัด,บริษัท อุตสาหกรรมโลหะ มหานคร (2010) จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 92/78-79,9,,ฉลองกรุง,ลำผักชี,หนองจอก,กรุงเทพมหานคร,10530,892029400,120000000,33,1987
31,3-105-52/59,1.01E+13,นางวรรณา กนกทิพย์,นางวรรณา กนกทิพย์,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 26/5,,เพชรเกษม114,เพชรเกษม,หนองค้างพลู,หนองแขม,กรุงเทพมหานคร,10150,24159917,13000000,14,766.34
32,3-105-53/54,1.01001E+13,บริษัท ส.พัฒนาเปเปอร์ จำกัด,บริษัท ส.พัฒนาเปเปอร์ จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย และอัดเศษกระดาษ,เลขที่ 4,,-,แสมดำ,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,10150,,2000000,2,485
33,3-105-54/59,1.01001E+13,บริษัท ช.รุ่งทรัพย์ จำกัด,บริษัท ช.รุ่งทรัพย์ จำกัด,คัดแยกวัสดุที่ไม่ใช่แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 597,,,พระราม 2,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,10150,24155642,12300000,9,426.5
34,3-105-54/61,1.01E+13,นวกลกิจ,นางสาวสุภารัตน์ วุฒิเลิศเจริญวงศ์,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,"เลขที่ 16/1,16/2",,บางกระดี่ 1 แยก 9,,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,10150,09 5596 4555,12198000,4,98
35,3-105-57/61,1.01001E+13,บริษัท ตั้งซุ่ยเฮง จำกัด,บริษัท ตั้งซุ่ยเฮง จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 88/164,3,กำนันแม้น,เอกชัย,บางขุนเทียน,จอมทอง,กรุงเทพมหานคร,10150,02-8978134-5,185000000,29,745
36,3-105-60/60,1.01E+13,นายการัณย์ อัครกุลพรรณ,นายการัณย์ อัครกุลพรรณ,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 89,,บางกระดี่ 19,,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,10150,081-8447639,37500000,30,435
37,3-105-68/60,1.01E+13,บริษัท เหล็กหมุนเวียน จำกัด,บริษัท เหล็กหมุนเวียน จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 159,,,มาเจริญ,หนองค้างพลู,หนองแขม,กรุงเทพมหานคร,10160,02-8121576,63000000,34,2992.81
38,3-105-69/59,1.01E+13,บริษัท ไคฮวดจั่น หทัยราษฏร์ จำกัด,บริษัท ไคฮวดจั่น หทัยราษฎร์ จำกัด ,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 888,,,หทัยราษฎร์,มีนบุรี,มีนบุรี,กรุงเทพมหานคร,10510,29565125,175000000,30,795
39,3-105-70/59,1.01E+13,บริษัท เมทัล คอปเปอร์ จำกัด,บริษัท เมทัล คอปเปอร์ จำกัด ,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 888,,,สุวินทวงษ์,แสนแสบ,มีนบุรี,กรุงเทพมหานคร,10510,29565125,220000000,30,1041
40,3-105-71/59,1.01001E+13,บริษัท เอส.เอช.เปเปอร์ จำกัด,บริษัท เอส.เอช.เปเปอร์ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 9,,พุทธบูชา 36 แยก 1,พุทธบูชา ,บางมด,ทุ่งครุ,กรุงเทพมหานคร,10140,24264961,20000000,17,589
41,3-105-72/59,1.01001E+13,บริษัท เจ พี เปเปอร์ จำกัด,บริษัท เจ พี เปเปอร์ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 8,,ราษฎร์บูรณะ,,บางปะกอก,ราษฎร์บูรณะ,กรุงเทพมหานคร,10140,287220724,9000000,14,300
42,3-105-72/61,1.01E+13,นายสิทธิพงศ์ อนันต์หล่อพันธ์,"นายสิทธิพงศ์ อนันต์หล่อพันธ์	",คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 518/27,,รามคำแหง 39 (เทพลีลา 1),,วังทองหลาง,วังทองหลาง,กรุงเทพมหานคร,10310,,14500000,5,100
43,3-105-73/59,1.01001E+13,บริษัท ส.พัฒนาเปเปอร์ จำกัด,บริษัท ส.พัฒนาเปเปอร์ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 22,,แสมดำ 5,แสมดำ,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,10120,,93000000,30,808.18
44,3-105-8/62,1.01E+13,นายสิทธิชัย เอื้อโภศิณธ์,นายสิทธิชัย เอื้อโภศิณธ์,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 114/3,11,,,บางขุนเทียน,จอมทอง,กรุงเทพมหานคร,10150,,20000000,50,264
45,3-105-8/63,1.01E+13,บริษัท ส.รุ่งสุริยา จำกัด,บริษัท ส.รุ่งสุริยา จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ โฉนดเลขที่ 149201,,,,ท่าข้าม,บางขุนเทียน,กรุงเทพมหานคร,10150,,14500000,14,660
46,3-105-81/48,1.01001E+13,ซั่งเฮงจั่น,นายชุณห์ เลิศชัยประเสริฐ,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) เช่น เศษโลหะ เศษกระดาษ อัดกระป๋องและตัดโลหะ,เลขที่ 3,,โชติวัฒน์ ซอย 14,ประชาชื่น,บางซื่อ,บางซื่อ,กรุงเทพมหานคร,10800,02-5852521,13000000,10,255
47,3-105-84/59,1.01E+13,วงษ์พาณิชย์บางบอน,นางกนกนภัส ชาญวโรจน์,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 91,,,กาญจนาภิเษก,บางบอน,บางบอน,กรุงเทพมหานคร,10150,02-8999995,8700000,7,55.5
48,3-105-84/60,1.01E+13,บริษัท ชนะชัย รีไซเคิล กรุ๊ป จำกัด,บริษัท ชนะชัย รีไซเคิล กรุ๊ป จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 19,,ประชาร่วมใจ 59,ประชาร่วมใจ,ทรายกองดินใต้,คลองสามวา,กรุงเทพมหานคร,10510,02-9169933,2700000,15,836.5
49,3-105-85/59,1.01E+13,บริษัท ท็อป ซีเคร็ต ด็อกคิวเมนท์ ดิสทรัคชั่น จำกัด,บริษัท ท็อป ซีเคร็ต ด็อกคิวเมนท์ ดิสทรัคชั่น จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 4/14,6,,,ลำผักชี,หนองจอก,กรุงเทพมหานคร,10530,02-9565899,49000000,7,457
50,3-105-86/61,1.01E+13,นายปรีชา ธนงค์,นายปรีชา ธนงค์,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 11,,บางกระดี่ 43,,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,10150,,22500000,15,283
51,3-105-88/59,1.01E+13,บริษัท คูเซ่งฮวด จำกัด,บริษัท คูเซ่งฮวด จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วไม่เป็นของเสียอันตราย,"เลขที่ 25,27",,อ่อนนุช 80,อ่อนนุช,ประเวศ,ประเวศ,กรุงเทพมหานคร,10250,,7000000,7,119
52,3-105-89/59,1.01E+13,บริษัท สยามคราฟท์ เฮ้าส์ จำกัด,บริษัท สยามคราฟท์ เฮ้าส์ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 169/2,,,เลียบคลองมอญ,ทับยาว,ลาดกระบัง,กรุงเทพมหานคร,10520,,5000000,10,61
53,3-105-91/60,1.01001E+13,บริษัท ซุ่นฮวดค้าเศษกระดาษ จำกัด,บริษัท ซุ่นฮวดค้าเศษกระดาษ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 2,,กรุงเทพกรีฑา 47,,ทับช้าง,สะพานสูง,กรุงเทพมหานคร,10240,02-2451532,17556000,8,191
54,3-105-98/50,1.01E+13,หนองแขมของเก่า,นายคำรณ มูลเงิน,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตรายอัดเศษกระดาษและอัดเศษโลหะ,เลขที่ 13/16,7, -,เพชรเกษม 81,หนองแขม,หนองแขม,กรุงเทพมหานคร,10160,,1800000,51,33
55,3-106-1/46,1.01037E+13,อุตสาหกรรมน้ำมันไทย,นางกิมเอ็ง ยิ่งแจ่มจันทร์,ทำน้ำมันผสมสีทาบ้านจากน้ำมันเครื่องเก่า (Waste Oil Refining),เลขที่ 40,,เพชรเกษม 110 แยก 14-1-1,-,หนองค้างพลู,หนองแขม,กรุงเทพมหานคร,10160,081-5929569,0,8,335.5
56,3-106-34/60,1.01E+13,บริษัท ยูอาร์ดี อินเตอร์เนชั่นแนล จำกัด,บริษัท ยูอาร์ดี อินเตอร์เนชั่นแนล จำกัด,นำยางรถยนต์ที่ไม่ใช้แล้วมาสับ บดย่อย เพื่อนำกลับมาใช้ประโยชน์ใหม่เป็นวัตถุดิบ,เลขที่ 74,,6,บางบอน 4,บางบอน,บางบอน,กรุงเทพมหานคร,10150,02-892-2679,80000000,10,769.5
57,3-106-36/60,1.01E+13,บริษัท เหล็กหมุนเวียน จำกัด,บริษัท เหล็กหมุนเวียน จำกัด,บดย่อยชิ้นส่วนอิเล็กทรอนิกส์ที่ใช้แล้วและเครื่องใช้ไฟฟ้าเก่า และคัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 159,,,มาเจริญ,หนองค้างพลู,หนองแขม,กรุงเทพมหานคร,10160,28121576,24000000,8,655.12
58,3-106-51/63,1.01001E+13,บริษัท ท็อป ซีเคร็ต ด๊อกคิวเมนท์ ดิสทรัคชั่น จำกัด,บริษัท ท็อป ซีเคร็ต ด๊อกคิวเมนท์ ดิสทรัคชั่น จำกัด,นำนํ้ามันหล่อลื่น และตัวทำละลายที่ใช้แล้วมาผ่านกรรมวิธีทางอุตสาหกรรมเพื่อผลิตเป็นเชื้อเพลิงทดแทนโดยกระบวนการกรอง ทำเชื้อเพลิงผสม (Solid Blending) จากวัสดุที่ไม่ใช้แล้วที่มีค่าความร้อนผลิตเชื้อเพลิงแข็งอัดก้อนจากวัสดุที่ไม่ใช้แล้ว ถอดแยกและบทย่อยเครื่องใช้ไฟฟ้าและชิ้นส่วนอุปกรณ์อิเล็กทรอนิกส์ที่ไม่ใช้แล้ว รีไซเคิลหลอดออเรสเซนต์ บดย่อยเศษแก้ว และเก็บรวบรวมแบตเตอรี่เก่าโดยไม่มีการแปรสภาพ,เลขที่ 4/14,6,-,-,ลำผักชี,หนองจอก,กรุงเทพมหานคร,10530,29565899,51000000,60,1499.35
59,3-106-54/61,1.01001E+13,บริษัท กรุงเทพธนาคม จำกัด,บริษัท กรุงเทพธนาคม จำกัด,เชื้อเพลิงแข็งจากขยะชุมชน,เลขที่ 55/1,,อ่อนนุช 86 แยก 1,,ประเวศ,ประเวศ,กรุงเทพมหานคร,10250,0 2168 3368,1370000000,47,2693.21
60,3-106-61/63,1.01002E+13,บริษัท เจดีย์ไทย สตีล จำกัด,บริษัท เจดีย์ไทย สตีล จำกัด,ถอดแยก บดย่อย อุปกรณ์เครื่องใช้ไฟฟ้า และอีเลคทรอนิคส์ที่ใช้แล้ว,เลขที่ 251,,,บางบอน 4,บางบอน,บางบอน,กรุงเทพมหานคร,10150,,0,9,482
61,3-106-62/60,1.01E+13,บริษัท ผลพาณิชย์ จำกัด,บริษัท ผลพาณิชย์ จำกัด,บดย่อยแผงวงจรอิเล็กทรอนิกส์ที่ใช้แล้วและเครื่องใช้ไฟฟ้าเก่า และคัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 99/231,4,,พระรามที่ 2,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,10150,084-4244701,1000000,12,90
62,3-106-72/61,1.01001E+13,บริษัท ฟลายอิ้ง อินดัสตรี จำกัด,บริษัท ฟลายอิ้ง อินดัสตรี จำกัด,บดย่อยชิ้นส่วนอิเล็กทรอนิกส์ที่ใช้แล้วและอุปกรณ์เครื่องใช้ไฟฟ้าที่ใช้แล้ว,เลขที่ 15/115,,กรุงเทพกรีฑา 37,,สะพานสูง,สะพานสูง,กรุงเทพมหานคร,10240,,47000000,9,146.35
63,ข3-106-18/48,9.10202E+13,บริษัท ไฮโดร แอนด์ ไพโรเมท จำกัด,บริษัท ไฮโดร แอนด์ ไพโรเมท จำกัด,แยกสกัดโลหะมีค่า เช่น เงิน ทองแดง ทองคำ จากเศษโลหะด้วยไฟฟ้าและวิเคราะห์ปริมาณกลุ่มโลหะมีค่า,เลขที่ 3/356-357,9,-,สุวินทวงศ์,ลำผักชี,หนองจอก,กรุงเทพมหานคร,10530,02-5435436-7,0,9,73.86
64,น.105-1/2553-นนล.,8.20302E+13,บริษัท นาโมยะ ชินโป เนชั่น กรุ๊ป จำกัด,บริษัท นาโมยะ ชินโป เนชั่น กรุ๊ป จำกัด,ซื้อมาขายไปนำเข้าส่งออกซ่อมแซมปรับปรุงเปลี่ยนแปลงสภาพแบ่งบรรจุชิ้นส่วนอุปกรณ์อิเล็กทรอนิกส์และไฟฟ้าแผ่นแผงวงจรอิเล็กทรอนิกส์ทุกชนิดรวมถึงแบตเตอรี่และถ่านไฟฉายทุกชนิดเทปอิเล็กทรอนิกส์เครื่องเสียงในรถยนต์จอภาพจอมอนิเตอร์จอแอลซีดีเครื่องคิดเลขเครื่องคำนวณเคร,เลขที่ 115,4,-,ฉลองกรุง,ลำปลาทิว,ลาดกระบัง,กรุงเทพมหานคร,10520,02-326-1256,10000000,15,1265
